CustomerID,Name,Email,Age,Country,SignupDate
C0001,Kyle Trevino,wallaceamanda@garcia-kim.com,54,Germany,2020-10-15
C0002,Brianna Taylor,danielfisher@gmail.com,45,USA,2021-06-02
C0003,Eric Larsen,riverajoshua@davis.com,25,Canada,2021-03-08
C0004,Zachary Campbell,robertbrown@clark.com,49,India,2023-04-12
C0005,Jesse Cunningham,taylor85@gmail.com,20,Germany,2022-08-24
C0006,Brianna Green,noah51@hotmail.com,55,Australia,2020-11-02
C0007,Matthew Booth,timothy23@hotmail.com,45,UK,2022-04-12
C0008,Alexa Lee,osmith@velez-rosales.com,21,Australia,2022-05-14
C0009,Christopher Peterson Jr.,whitepenny@gmail.com,61,USA,2021-06-01
C0010,Erin Kramer DDS,andersonkeith@harris.biz,62,Canada,2021-01-13
C0011,Tiffany Williams,rebeccacarter@wallace-browning.info,23,Australia,2021-11-11
C0012,Shannon Perez,mmoss@yahoo.com,36,USA,2020-07-22
C0013,Lauren Jackson,dale50@hotmail.com,23,Australia,2022-01-03
C0014,Trevor Martinez,craneashley@hotmail.com,45,USA,2023-06-13
C0015,Patrick Osborn,esantiago@ortiz.net,61,Germany,2023-10-11
C0016,Ann Wells,fisherryan@hotmail.com,34,UK,2021-06-20
C0017,Jody Jones,susanlewis@oconnor.com,18,Australia,2021-07-25
C0018,Brian Garrison,robert45@hotmail.com,47,Canada,2020-07-30
C0019,Steve Garrett,tluna@yahoo.com,65,USA,2020-07-20
C0020,Shelly Harvey,vgarcia@yahoo.com,63,UK,2023-08-10
C0021,Linda Salas,laceymoore@hodge.com,19,Germany,2022-05-10
C0022,Nicole Yu,cordovakristen@johnson.com,21,India,2023-06-21
C0023,Jennifer Frazier,jonesjasmine@hotmail.com,26,India,2020-03-30
C0024,Denise Guzman,kevin42@knapp.com,44,India,2023-04-14
C0025,Erika Rivers,ejackson@wallace.com,49,India,2020-04-08
C0026,Elaine Smith,lopezchad@gmail.com,50,UK,2022-12-10
C0027,Christopher Armstrong,markware@thomas.com,22,UK,2020-06-05
C0028,Kristi Kemp,codywilson@beard.com,61,Canada,2021-11-01
C0029,Michael Herring,rgarcia@padilla.com,53,India,2022-05-14
C0030,Brandy Howard,ntate@yahoo.com,27,India,2019-12-23
C0031,Mr. John Perez,sandersjoseph@martinez-frye.com,53,UK,2022-07-28
C0032,Joseph Obrien,robertmendoza@hotmail.com,36,USA,2022-07-17
C0033,Michael Grant,iswanson@hotmail.com,23,Canada,2020-02-18
C0034,Sean Francis,twhite@gmail.com,19,Canada,2022-05-25
C0035,Linda Berg MD,kim08@hotmail.com,53,Germany,2020-08-15
C0036,Nicole Mills,emma19@bates.biz,26,India,2020-01-28
C0037,Elizabeth Ward,renee18@yahoo.com,51,India,2022-04-05
C0038,David Smith,petersonjeremiah@gmail.com,52,UK,2022-07-19
C0039,Christopher Hayden,suzanne13@yahoo.com,44,USA,2020-08-23
C0040,Sandra Salazar,ernestlucas@olson.org,30,UK,2021-07-18
C0041,Joseph Patterson,kristie91@yahoo.com,38,Germany,2022-02-06
C0042,Marcus Mitchell,perezashley@hotmail.com,64,Canada,2022-11-20
C0043,Richard Johnson,thawkins@hotmail.com,61,USA,2021-08-02
C0044,William Burton,abigail06@mendez.com,18,India,2021-04-09
C0045,Alexa Mcbride,waremegan@gmail.com,59,Australia,2022-09-22
C0046,Lori Graham,kristinrivera@hotmail.com,61,Germany,2022-10-08
C0047,Heather Berry,nathanielclayton@gmail.com,38,India,2023-09-04
C0048,Susan Park,michelle97@gmail.com,37,India,2020-08-10
C0049,Bradley Parker,arroyojonathan@hotmail.com,55,Canada,2022-04-14
C0050,Anthony Coleman,clementsjohnny@cruz.com,60,UK,2022-01-04
C0051,Thomas Russo,lindsay38@castillo.com,59,UK,2023-04-27
C0052,Victoria Bradford,amberpowers@griffin.biz,36,Canada,2020-03-16
C0053,Linda Morton,rdavis@sanchez.com,55,Canada,2021-08-07
C0054,Kathy Gonzalez,kpeterson@yahoo.com,56,UK,2022-02-19
C0055,Amber Mays,sotoluke@velazquez-collins.com,50,Germany,2022-06-17
C0056,Lisa Newton,jonesmatthew@suarez.com,34,Australia,2022-01-17
C0057,Karen Wilson DVM,fuenteseddie@martinez-walls.com,43,USA,2022-10-07
C0058,Michelle Leonard,benjamin40@hotmail.com,30,UK,2021-11-17
C0059,Benjamin Harrington,ritamitchell@soto.com,26,USA,2022-02-07
C0060,Adam Hawkins,lewisjohn@myers.com,56,USA,2022-09-15
C0061,Tanya Johnston,shuber@vance.com,49,USA,2021-01-07
